epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4004.51,0.73201,0.34411,0.78079,0.90388,0.75193,0.81937,0.58057,0.7541,0.35652,0.79264,0.000519875,0.000519875,0.000519875
61,4066.18,0.75983,0.3573,0.7817,0.87491,0.75084,0.81776,0.58469,0.75566,0.37122,0.79135,0.0005075,0.0005075,0.0005075
62,4128.44,0.78546,0.36526,0.78193,0.89959,0.75799,0.82898,0.577,0.76791,0.36575,0.79188,0.000495125,0.000495125,0.000495125
63,4197.88,0.76869,0.35513,0.78085,0.8818,0.75302,0.83648,0.58089,0.77217,0.36309,0.79226,0.00048275,0.00048275,0.00048275
64,4258.41,0.72455,0.33883,0.78342,0.95581,0.75154,0.84086,0.57198,0.7445,0.35646,0.79055,0.000470375,0.000470375,0.000470375
65,4324.96,0.73691,0.3445,0.77939,0.9343,0.7439,0.84393,0.58558,0.77369,0.36688,0.79317,0.000458,0.000458,0.000458
66,4382.09,0.73725,0.34628,0.78,0.88672,0.72894,0.81207,0.5552,0.75907,0.36025,0.79228,0.000445625,0.000445625,0.000445625
67,4456.73,0.74169,0.34654,0.78347,0.91768,0.76743,0.8263,0.57778,0.7678,0.35446,0.79215,0.00043325,0.00043325,0.00043325
68,4512.58,0.73276,0.34216,0.78003,0.92372,0.75602,0.83514,0.6034,0.76949,0.35918,0.79128,0.000420875,0.000420875,0.000420875
69,4583.89,0.73767,0.34895,0.77968,0.9188,0.74221,0.83107,0.57452,0.81231,0.37107,0.7958,0.0004085,0.0004085,0.0004085
70,4643.54,0.74187,0.34615,0.78064,0.88542,0.75839,0.81465,0.57825,0.76918,0.36763,0.79167,0.000396125,0.000396125,0.000396125
71,4705.23,0.7214,0.33761,0.77696,0.91937,0.75886,0.81734,0.58317,0.76396,0.34802,0.79149,0.00038375,0.00038375,0.00038375
72,4765.01,0.70778,0.33226,0.77931,0.91149,0.77809,0.82521,0.58247,0.75407,0.34917,0.79182,0.000371375,0.000371375,0.000371375
73,4830.01,0.70716,0.33053,0.77834,0.93352,0.74271,0.84463,0.58701,0.77539,0.35102,0.79429,0.000359,0.000359,0.000359
74,4896.91,0.70067,0.33057,0.77893,0.9511,0.77578,0.83491,0.59545,0.74619,0.34389,0.79187,0.000346625,0.000346625,0.000346625
75,4958.67,0.69874,0.33422,0.77992,0.93497,0.76463,0.83247,0.58564,0.74883,0.35381,0.7908,0.00033425,0.00033425,0.00033425
76,5018.57,0.71901,0.33679,0.77857,0.91599,0.7521,0.82697,0.56268,0.77358,0.36492,0.79251,0.000321875,0.000321875,0.000321875
77,5089.58,0.69628,0.32736,0.77891,0.93773,0.74798,0.82432,0.57596,0.75634,0.35669,0.79129,0.0003095,0.0003095,0.0003095
78,5148.85,0.71455,0.33107,0.77963,0.92571,0.76513,0.82303,0.57296,0.78151,0.3668,0.79324,0.000297125,0.000297125,0.000297125
79,5222.83,0.68433,0.32465,0.7771,0.92134,0.77005,0.83461,0.58628,0.74361,0.349,0.79007,0.00028475,0.00028475,0.00028475
80,5288.92,0.70925,0.32819,0.77786,0.93496,0.7691,0.83425,0.58811,0.75488,0.34949,0.79113,0.000272375,0.000272375,0.000272375
81,5362.33,0.68264,0.32074,0.77746,0.93742,0.77243,0.84513,0.59724,0.73498,0.34461,0.79029,0.00026,0.00026,0.00026
82,5433.73,0.68419,0.31755,0.77677,0.94715,0.77772,0.84571,0.6084,0.74723,0.34783,0.79061,0.000247625,0.000247625,0.000247625
83,5514.72,0.67402,0.31625,0.77767,0.94453,0.73037,0.82279,0.58704,0.74087,0.35092,0.79027,0.00023525,0.00023525,0.00023525
84,5582.88,0.67617,0.31384,0.77513,0.92961,0.75551,0.84055,0.59615,0.74372,0.34239,0.79061,0.000222875,0.000222875,0.000222875
85,5650.19,0.67269,0.31616,0.77784,0.94115,0.76423,0.83529,0.59582,0.7395,0.34594,0.79109,0.0002105,0.0002105,0.0002105
86,5716.38,0.67671,0.31842,0.7769,0.94954,0.73914,0.82949,0.59292,0.73505,0.34954,0.79007,0.000198125,0.000198125,0.000198125
87,5787.45,0.66018,0.30874,0.77824,0.95446,0.73916,0.82702,0.59151,0.74615,0.34249,0.79181,0.00018575,0.00018575,0.00018575
88,5851.18,0.66337,0.30995,0.77684,0.96387,0.74154,0.82218,0.59017,0.74166,0.34423,0.791,0.000173375,0.000173375,0.000173375
89,5925.07,0.65385,0.30752,0.77598,0.93204,0.75862,0.83177,0.58245,0.72746,0.34037,0.79052,0.000161,0.000161,0.000161
90,5992.71,0.64106,0.30153,0.777,0.95228,0.76774,0.83837,0.58855,0.73237,0.33648,0.79036,0.000148625,0.000148625,0.000148625
91,6050.5,0.60821,0.29539,0.77413,0.93809,0.7515,0.84299,0.58844,0.74908,0.35124,0.78957,0.00013625,0.00013625,0.00013625
92,6117.74,0.60149,0.29495,0.77656,0.9615,0.72407,0.83065,0.59145,0.74121,0.34623,0.79005,0.000123875,0.000123875,0.000123875
93,6173.77,0.60158,0.29451,0.77418,0.89269,0.74351,0.8168,0.5865,0.75535,0.34376,0.7914,0.0001115,0.0001115,0.0001115
94,6236.64,0.59953,0.29357,0.77432,0.9149,0.74875,0.82455,0.58561,0.75226,0.3424,0.79058,9.9125e-05,9.9125e-05,9.9125e-05
95,6303.64,0.59831,0.28862,0.77528,0.959,0.75554,0.83362,0.58336,0.74872,0.338,0.79068,8.675e-05,8.675e-05,8.675e-05
96,6375.94,0.58296,0.28315,0.7731,0.94372,0.75017,0.83791,0.58657,0.73863,0.34232,0.79024,7.4375e-05,7.4375e-05,7.4375e-05
97,6448.7,0.58583,0.28484,0.77201,0.96775,0.74244,0.83675,0.59222,0.73145,0.33572,0.78989,6.2e-05,6.2e-05,6.2e-05
98,6516.48,0.56879,0.27802,0.77043,0.96725,0.74548,0.83864,0.58533,0.73997,0.33978,0.7902,4.9625e-05,4.9625e-05,4.9625e-05
99,6572.62,0.58235,0.28225,0.77313,0.95501,0.74464,0.83851,0.58783,0.7361,0.33489,0.78989,3.725e-05,3.725e-05,3.725e-05
100,6645.51,0.57398,0.27713,0.77269,0.94075,0.76011,0.8437,0.5937,0.74084,0.33513,0.78985,2.4875e-05,2.4875e-05,2.4875e-05
